Community_ID,Community,exit_number,osm_id,road_name,fclass,exit_x,exit_y
202,Ali Curung,1,776439236,,unclassified,248377.68531280913,-2259112.6309265993
202,Ali Curung,2,320750392,,tertiary,249103.0273266364,-2259007.523284772
202,Ali Curung,3,422803474,,unclassified,248034.07648678735,-2258959.048793416
202,Ali Curung,4,226561078,,secondary,247610.57226597212,-2258066.409105163
202,Ali Curung,5,776436217,,track_grade3,249574.85751922033,-2258386.8527782625
202,Ali Curung,6,776435809,,track_grade2,249587.34794841096,-2258336.9881897783
202,Ali Curung,7,745856602,,unclassified,247777.95469391192,-2257581.4789575115
202,Ali Curung,8,776429711,,unclassified,248006.19769870606,-2257342.432868188
202,Ali Curung,9,776429711,,unclassified,248218.27657391137,-2257219.3501388817
202,Ali Curung,10,776436718,,unclassified,249341.4907537311,-2257463.578742647
202,Ali Curung,11,770259789,,unclassified,248668.73538550813,-2257143.438622011
203,Alpurrurulam,1,174644417,Sandover Highway,secondary,603668.000245489,-2268458.7762857005
203,Alpurrurulam,2,193262421,Awerr Awerr Road,unclassified,603099.7126542117,-2268089.8240065225
203,Alpurrurulam,3,193262436,,residential,602918.0267184069,-2267277.670362981
203,Alpurrurulam,4,193262439,,track,604830.0816430752,-2267133.4118018257
203,Alpurrurulam,5,193262439,,track,603551.2592478709,-2268423.7468816866
203,Alpurrurulam,6,44153673,,residential,602919.8500159127,-2267270.3913513133
203,Alpurrurulam,7,44153674,,track,603119.4445388974,-2266855.7740139985
203,Alpurrurulam,8,193262428,Sandover Highway,secondary,604890.1983941853,-2267385.006523278
203,Alpurrurulam,9,193262435,,residential,604159.068824373,-2266522.476837015
622,Amanbidji,1,547009820,,track_grade2,-255742.6124451522,-1751897.8213429423
622,Amanbidji,2,99875516,,unclassified,-255444.72504177436,-1749965.3867756317
9,Amoonguna,1,1246968057,,track,195732.65926974578,-2566789.424152935
9,Amoonguna,2,440537533,,track_grade2,195746.82342258564,-2565003.8506546966
9,Amoonguna,3,440537533,,track_grade2,194320.90182441706,-2565656.8007110655
9,Amoonguna,4,202869850,Whitegum Drive,tertiary,195209.89277183538,-2564897.2879836373
10,Ampilatwatja,1,320796762,Aherrenge Road,unclassified,331625.234187383,-2333757.654614078
10,Ampilatwatja,2,777913335,,service,331334.93343609927,-2331832.3680041567
147,Arawerr,1,203344420,,track,291826.90430250124,-2372673.7317466796
147,Arawerr,2,203344391,,unclassified,290645.73412854556,-2371162.9432464647
147,Arawerr,3,440436020,,unclassified,291507.9173227464,-2370747.5859126053
20,Areyonga,1,227775442,Leo Kalleske Drive,tertiary,26347.037442502122,-2599270.2824290427
20,Areyonga,2,1547209441,Kurkunytjingi Road,track,28228.891008861676,-2599032.19705413
42,Atitjere,1,996622971,,track,298937.63343988423,-2480114.555282366
42,Atitjere,2,49026831,Mica Road,unclassified,298195.43750701967,-2479385.144288296
42,Atitjere,3,440596299,,unclassified,297442.07255451335,-2481206.7224953463
458,Baniyala,1,62278261,Port Bradshaw Road,tertiary,464467.99615458684,-1401605.7808247113
580,Barunga,1,441343435,,track_grade4,95163.67554496741,-1540311.8969956671
