Community_ID,Community,exit_number,osm_id,road_name,fclass,graph_node_x,graph_node_y,status
202,Ali Curung,1,776439236,,unclassified,248377.69,-2259112.63,NEW NODE
202,Ali Curung,2,320750392,,tertiary,249103.03,-2259007.52,NEW NODE
202,Ali Curung,3,422803474,,unclassified,248034.08,-2258959.05,NEW NODE
202,Ali Curung,4,226561078,,secondary,247610.57,-2258066.41,NEW NODE
202,Ali Curung,5,776436217,,track_grade3,249574.86,-2258386.85,NEW NODE
202,Ali Curung,6,776435809,,track_grade2,249587.35,-2258336.99,NEW NODE
202,Ali Curung,7,745856602,,unclassified,247777.95,-2257581.48,NEW NODE
202,Ali Curung,8,776429711,,unclassified,248006.2,-2257342.43,NEW NODE
202,Ali Curung,9,776429711,,unclassified,248218.28,-2257219.35,NEW NODE
202,Ali Curung,10,776436718,,unclassified,249341.49,-2257463.58,NEW NODE
202,Ali Curung,11,770259789,,unclassified,248668.74,-2257143.44,NEW NODE
203,Alpurrurulam,1,174644417,Sandover Highway,secondary,603668,-2268458.78,NEW NODE
203,Alpurrurulam,2,193262421,Awerr Awerr Road,unclassified,603099.71,-2268089.82,NEW NODE
203,Alpurrurulam,3,193262436,,residential,602918.03,-2267277.67,NEW NODE
203,Alpurrurulam,4,193262439,,track,604830.08,-2267133.41,NEW NODE
203,Alpurrurulam,5,193262439,,track,603551.26,-2268423.75,NEW NODE
203,Alpurrurulam,6,44153673,,residential,602919.85,-2267270.39,NEW NODE
203,Alpurrurulam,7,44153674,,track,603119.44,-2266855.77,NEW NODE
203,Alpurrurulam,8,193262428,Sandover Highway,secondary,604890.2,-2267385.01,NEW NODE
203,Alpurrurulam,9,193262435,,residential,604159.07,-2266522.48,NEW NODE
622,Amanbidji,1,547009820,,track_grade2,-255742.61,-1751897.82,NEW NODE
622,Amanbidji,2,99875516,,unclassified,-255444.73,-1749965.39,NEW NODE
9,Amoonguna,1,1246968057,,track,195732.66,-2566789.42,NEW NODE
9,Amoonguna,2,440537533,,track_grade2,195746.82,-2565003.85,NEW NODE
9,Amoonguna,3,440537533,,track_grade2,194320.9,-2565656.8,NEW NODE
9,Amoonguna,4,202869850,Whitegum Drive,tertiary,195209.89,-2564897.29,NEW NODE
10,Ampilatwatja,1,320796762,Aherrenge Road,unclassified,331625.23,-2333757.65,NEW NODE
10,Ampilatwatja,2,777913335,,service,331334.93,-2331832.37,NEW NODE
147,Arawerr,1,203344420,,track,291826.9,-2372673.73,NEW NODE
147,Arawerr,2,203344391,,unclassified,290645.73,-2371162.94,NEW NODE
147,Arawerr,3,440436020,,unclassified,291507.92,-2370747.59,NEW NODE
20,Areyonga,1,227775442,Leo Kalleske Drive,tertiary,26347.04,-2599270.28,NEW NODE
20,Areyonga,2,1547209441,Kurkunytjingi Road,track,28228.89,-2599032.2,NEW NODE
42,Atitjere,1,996622971,,track,298937.63,-2480114.56,NEW NODE
42,Atitjere,2,49026831,Mica Road,unclassified,298195.44,-2479385.14,NEW NODE
42,Atitjere,3,440596299,,unclassified,297442.07,-2481206.72,NEW NODE
458,Baniyala,1,62278261,Port Bradshaw Road,tertiary,464468,-1401605.78,NEW NODE
580,Barunga,1,441343435,,track_grade4,95163.68,-1540311.9,NEW NODE
580,Barunga,2,441343438,,track_grade4,95358.63,-1539900.85,NEW NODE
580,Barunga,3,370569896,Central Arnhem Highway,trunk,93450.12,-1539328.87,NEW NODE
580,Barunga,4,370583487,Central Arnhem Highway,trunk,94888.48,-1538828.3,NEW NODE
294,Belyuen,1,29199417,Cox Peninsula Road,secondary,-144646.01,-1324003.93,NEW NODE
294,Belyuen,2,441921716,,track_grade3,-143927.93,-1324486.84,NEW NODE
294,Belyuen,3,441921721,,track_grade4,-144195.14,-1324409.07,NEW NODE
294,Belyuen,4,441921735,,track_grade5,-143384.06,-1324413.84,NEW NODE
294,Belyuen,5,441921713,,track_grade2,-144557.11,-1324133.28,NEW NODE
294,Belyuen,6,441921707,,track_grade3,-142937.36,-1322969.06,NEW NODE
294,Belyuen,7,371477365,,track_grade4,-144654.79,-1323007.49,NEW NODE
294,Belyuen,8,441921708,,track_grade3,-143115.31,-1322756.97,NEW NODE
294,Belyuen,9,29199458,Cox Peninsula Road,secondary,-143289.04,-1322630.92,NEW NODE
582,Binjari,1,327065304,,unclassified,20213.13,-1543184.15,NEW NODE
582,Binjari,2,327065304,,unclassified,19238.19,-1541442.07,NEW NODE
464,Birany Birany,1,441160861,,track_grade4,492961.88,-1361532.38,NEW NODE
586,Bulla,1,331579438,,track_grade3,-212404.18,-1677366.33,NEW NODE
586,Bulla,2,475357697,,track,-210418.95,-1677233.26,NEW NODE
586,Bulla,3,173590130,Janyima Road,unclassified,-212285.4,-1676713.99,NEW NODE
586,Bulla,4,253919737,,service,-212256.87,-1676666.39,NEW NODE
586,Bulla,5,253919737,,service,-212245.92,-1676649.18,NEW NODE
586,Bulla,6,331584995,,track_grade4,-210926.37,-1676339.29,NEW NODE
587,Bulman,1,440865218,Central Arnhem Highway,trunk,255007.21,-1447250.06,NEW NODE
587,Bulman,2,442894491,,unclassified,256484.67,-1448582.93,NEW NODE
587,Bulman,3,440865227,,track_grade3,256549.51,-1448516.83,NEW NODE
587,Bulman,4,440865226,,track_grade3,256551.69,-1448514.42,NEW NODE
