Community_ID,Community,exit_number,road_name,fclass,osm_id,graph_node_x,graph_node_y,component_id_after_cut,component_size_after_cut,largest_outside_component_size,exit_status
202,Ali Curung,1,,unclassified,776439236,248377.69,-2259112.63,0,710714,710714,EXTERNAL_EXIT
202,Ali Curung,2,,tertiary,320750392,249103.03,-2259007.52,0,710714,710714,EXTERNAL_EXIT
202,Ali Curung,3,,unclassified,422803474,248034.08,-2258959.05,0,710714,710714,EXTERNAL_EXIT
202,Ali Curung,4,,secondary,226561078,247610.57,-2258066.41,0,710714,710714,EXTERNAL_EXIT
202,Ali Curung,5,,track_grade3,776436217,249574.86,-2258386.85,77,30,710714,LOCAL_OR_DEAD_END
202,Ali Curung,6,,track_grade2,776435809,249587.35,-2258336.99,77,30,710714,LOCAL_OR_DEAD_END
202,Ali Curung,7,,unclassified,745856602,247777.95,-2257581.48,85,26,710714,LOCAL_OR_DEAD_END
202,Ali Curung,8,,unclassified,776429711,248006.2,-2257342.43,128,10,710714,LOCAL_OR_DEAD_END
202,Ali Curung,9,,unclassified,776429711,248218.28,-2257219.35,128,10,710714,LOCAL_OR_DEAD_END
202,Ali Curung,10,,unclassified,776436718,249341.49,-2257463.58,0,710714,710714,EXTERNAL_EXIT
202,Ali Curung,11,,unclassified,770259789,248668.74,-2257143.44,0,710714,710714,EXTERNAL_EXIT
203,Alpurrurulam,1,Sandover Highway,secondary,174644417,603668,-2268458.78,0,710347,710347,EXTERNAL_EXIT
203,Alpurrurulam,2,Awerr Awerr Road,unclassified,193262421,603099.71,-2268089.82,0,710347,710347,EXTERNAL_EXIT
203,Alpurrurulam,3,,residential,193262436,602918.03,-2267277.67,0,710347,710347,EXTERNAL_EXIT
203,Alpurrurulam,4,,track,193262439,604830.08,-2267133.41,0,710347,710347,EXTERNAL_EXIT
203,Alpurrurulam,5,,track,193262439,603551.26,-2268423.75,0,710347,710347,EXTERNAL_EXIT
203,Alpurrurulam,6,,residential,44153673,602919.85,-2267270.39,0,710347,710347,EXTERNAL_EXIT
203,Alpurrurulam,7,,track,44153674,603119.44,-2266855.77,0,710347,710347,EXTERNAL_EXIT
203,Alpurrurulam,8,Sandover Highway,secondary,193262428,604890.2,-2267385.01,10,780,710347,LOCAL_OR_DEAD_END
203,Alpurrurulam,9,,residential,193262435,604159.07,-2266522.48,123,10,710347,LOCAL_OR_DEAD_END
622,Amanbidji,1,,track_grade2,547009820,-255742.61,-1751897.82,34,114,711021,LOCAL_OR_DEAD_END
622,Amanbidji,2,,unclassified,99875516,-255444.73,-1749965.39,0,711021,711021,EXTERNAL_EXIT
9,Amoonguna,1,,track,1246968057,195732.66,-2566789.42,152,5,711134,LOCAL_OR_DEAD_END
9,Amoonguna,2,,track_grade2,440537533,195746.82,-2565003.85,0,711134,711134,EXTERNAL_EXIT
9,Amoonguna,3,,track_grade2,440537533,194320.9,-2565656.8,0,711134,711134,EXTERNAL_EXIT
9,Amoonguna,4,Whitegum Drive,tertiary,202869850,195209.89,-2564897.29,0,711134,711134,EXTERNAL_EXIT
10,Ampilatwatja,1,Aherrenge Road,unclassified,320796762,331625.23,-2333757.65,0,711207,711207,EXTERNAL_EXIT
10,Ampilatwatja,2,,service,777913335,331334.93,-2331832.37,132,8,711207,LOCAL_OR_DEAD_END
147,Arawerr,1,,track,203344420,291826.9,-2372673.73,0,711258,711258,EXTERNAL_EXIT
147,Arawerr,2,,unclassified,203344391,290645.73,-2371162.94,0,711258,711258,EXTERNAL_EXIT
147,Arawerr,3,,unclassified,440436020,291507.92,-2370747.59,0,711258,711258,EXTERNAL_EXIT
20,Areyonga,1,Leo Kalleske Drive,tertiary,227775442,26347.04,-2599270.28,0,711024,711024,EXTERNAL_EXIT
20,Areyonga,2,Kurkunytjingi Road,track,1547209441,28228.89,-2599032.2,55,64,711024,LOCAL_OR_DEAD_END
42,Atitjere,1,,track,996622971,298937.63,-2480114.56,0,711025,711025,EXTERNAL_EXIT
42,Atitjere,2,Mica Road,unclassified,49026831,298195.44,-2479385.14,0,711025,711025,EXTERNAL_EXIT
42,Atitjere,3,,unclassified,440596299,297442.07,-2481206.72,0,711025,711025,EXTERNAL_EXIT
458,Baniyala,1,Port Bradshaw Road,tertiary,62278261,464468,-1401605.78,0,711209,711209,EXTERNAL_EXIT
580,Barunga,1,,track_grade4,441343435,95163.68,-1540311.9,124,10,711075,LOCAL_OR_DEAD_END
580,Barunga,2,,track_grade4,441343438,95358.63,-1539900.85,0,711075,711075,EXTERNAL_EXIT
580,Barunga,3,Central Arnhem Highway,trunk,370569896,93450.12,-1539328.87,0,711075,711075,EXTERNAL_EXIT
580,Barunga,4,Central Arnhem Highway,trunk,370583487,94888.48,-1538828.3,0,711075,711075,EXTERNAL_EXIT
294,Belyuen,1,Cox Peninsula Road,secondary,29199417,-144646.01,-1324003.93,0,709945,709945,EXTERNAL_EXIT
