Community_ID,Community,Population,Accessible by road,osm_id,name,fclass,road_distance_m,component_id,component_size
963,Garanydjirr,7,1,447678281,,track_grade4,0.182424562,0,710399
131,Papunya,514,1,776442266,,service,0.234912538,0,710399
928,Tnerte,18,1,377597054,,service,0.237668841,0,710399
934,Tywenpe (D),6,1,460008794,,unclassified,0.319473581,0,710399
925,Kwale Kwale,16,1,450575011,,unclassified,0.633324673,0,710399
932,Inbina Atwatye,5,1,1485872461,,residential,0.731734276,0,710399
931,Tywenpe (A),20,1,1485872009,,track,0.812808334,0,710399
920,Elitjia,10,1,1030834930,,track,0.991191812,0,710399
908,Wakurlpu,8,1,320701496,,unclassified,1.083149784,0,710399
174,Wallace Rockhole,102,1,208044799,Roesch Street,residential,1.105395709,0,710399
198,Yuendumu,869,1,188551895,Conniston Road,residential,1.183939652,0,710399
624,Minyerri,763,1,327344858,,residential,1.308383278,0,710399
531,Milingimbi,1288,0,1368381527,Murrudanga Road,residential,1.320424248,13,367
591,Daguragu,230,1,444577919,,residential,1.46885136,0,710399
17626,Pine Creek,373,1,29251887,Ward Street,residential,1.560110065,0,710399
294,Belyuen,175,1,371477364,,residential,1.607420734,0,710399
939,Yartalu Yartalu,0,1,320600156,,service,1.642360072,0,710399
252,Marlinja,52,1,94231882,Marlinja,residential,1.658139795,0,710399
21684,Newcastle Waters,0,0.5,1417745880,Drovers Drive,residential,1.742339699,0,710399
26,Orrtipa-Thurra,38,1,193289897,,residential,1.782911104,0,710399
410,Peppimenarti,223,1,320163317,,residential,1.811586865,0,710399
927,Perte Therre,14,1,457648440,,residential,1.828404878,0,710399
9,Amoonguna,269,1,440537514,Mulga Street,residential,2.035703427,0,710399
363,Manmoyi,106,1,452385612,,residential,2.483369322,0,710399
411,Pirlangimpi,372,0,96394830,,residential,2.755354146,2,5790
500,Gapuwiyak,828,1,207544303,Marwuyu Street,residential,2.767767244,0,710399
256,Wandangula,42,1,101093951,,unclassified,2.786388204,0,710399
933,Tywenpe (C),25,1,448647003,,residential,2.821858955,0,710399
929,Twetye (A),6,1,1486468943,,residential,2.840868915,0,710399
82,Inkwelaye,25,1,448796126,,residential,3.013961865,0,710399
66,Kaltukatjara,269,1,359226991,,track,3.05505963,0,710399
12194,Daly Waters,0,1,809069012,Stuart Street,tertiary,3.089241416,0,710399
930,Twetye (B),15,1,448646988,,residential,3.119935934,0,710399
807,Galawarra,0,0.5,447405435,,track_grade4,3.168716237,5,1939
397,Nauiyu,411,1,403885326,,service,3.192901174,0,710399
872,Merral Ntarrakala,4,1,1223940754,,track,3.595667831,0,710399
865,Bardalumba,31,0.5,96099981,Bartalumba Bay Road,tertiary,3.753660653,1,7681
582,Binjari,282,1,775986105,,residential,4.230286696,0,710399
593,Jilkminggan,309,1,422688285,,residential,4.371638788,0,710399
622,Amanbidji,88,1,99875544,,residential,4.433418343,0,710399
178,Wanmarra,12,1,460910542,,track_grade3,4.546505386,0,710399
380,Mudginberri,40,1,452826153,,residential,4.565592606,0,710399
155,Tnyimipurta,11,1,456567647,,track_grade3,5.016788291,0,710399
545,Ngadumiyerrka,34,0.5,441138068,,tertiary,5.078308335,1,7681
648,Muruning,28,1,320186816,,residential,5.391017111,0,710399
921,Irriltyere (A),6,1,448885372,,residential,5.421278945,0,710399
718,Kuy,34,1,323262310,,track_grade3,5.661731952,0,710399
896,Dhambala,0,0.5,444874431,Dhambala,unclassified,5.891105615,5,1939
658,Yarralin,332,1,320305827,,residential,6.418203675,0,710399
707,Wunara,0,1,189601135,,unclassified,6.493489867,0,710399
36,Finke,224,1,1201029992,,service,6.631329335,0,710399
922,Irriltyere (B),9,1,448886137,,unclassified,7.36496155,0,710399
492,Galiwinku,2582,0,475260215,Galiwinku,residential,7.569690515,5,1939
856,Lizard Bore,0,1,451686767,Community Access,track_grade3,7.71079997,0,710399
514,Gunyangara,283,1,446277094,Yunupingu Drive,residential,8.008223095,0,710399
41,Haasts Bluff,96,1,399313984,,residential,8.037995725,0,710399
147,Arawerr,80,1,203344420,,track,8.394315105,0,710399
426,Wadeye,2259,1,323166354,Perdjert Street,residential,8.662420217,0,710399
203,Alpurrurulam,411,1,193262418,Antyper Street,residential,9.073568773,0,710399
12769,Five Mile,27,0.5,370859368,,service,9.082013146,0,710399
