Community_ID,Community,external_exit_count,normal_connected_exits,event_connected_exits,road_access_status
202,Ali Curung,6,6,6,ACCESS_REMAINS
203,Alpurrurulam,7,7,7,ACCESS_REMAINS
622,Amanbidji,1,1,1,ACCESS_REMAINS
9,Amoonguna,3,3,3,ACCESS_REMAINS
10,Ampilatwatja,1,1,1,ACCESS_REMAINS
147,Arawerr,3,3,3,ACCESS_REMAINS
20,Areyonga,1,1,1,ACCESS_REMAINS
42,Atitjere,3,3,3,ACCESS_REMAINS
458,Baniyala,1,1,1,ACCESS_REMAINS
580,Barunga,3,3,3,ACCESS_REMAINS
294,Belyuen,5,5,5,ACCESS_REMAINS
582,Binjari,1,1,1,ACCESS_REMAINS
464,Birany Birany,1,1,1,ACCESS_REMAINS
586,Bulla,6,6,6,ACCESS_REMAINS
587,Bulman,2,2,2,ACCESS_REMAINS
219,Canteen Creek,1,1,1,ACCESS_REMAINS
591,Daguragu,3,3,3,ACCESS_REMAINS
473,Dhalinybuy,1,1,1,ACCESS_REMAINS
33,Engawala,3,3,3,ACCESS_REMAINS
36,Finke,5,5,5,ACCESS_REMAINS
498,Gan Gan,1,1,1,ACCESS_REMAINS
500,Gapuwiyak,2,2,2,ACCESS_REMAINS
319,Gochan Jiny Jirra,2,2,2,ACCESS_REMAINS
329,Gunbalanya,3,3,3,ACCESS_REMAINS
514,Gunyangara,2,2,2,ACCESS_REMAINS
517,Gurrumuru,1,1,1,ACCESS_REMAINS
41,Haasts Bluff,6,6,6,ACCESS_REMAINS
43,Hermannsburg,7,7,7,ACCESS_REMAINS
600,Hodgson River Station,2,2,2,ACCESS_REMAINS
250,Imangara,6,6,6,ACCESS_REMAINS
51,Imanpa,2,2,2,ACCESS_REMAINS
63,Irrultja,4,4,4,ACCESS_REMAINS
593,Jilkminggan,1,1,1,ACCESS_REMAINS
603,Kalkarindji,4,4,4,ACCESS_REMAINS
66,Kaltukatjara,11,11,11,ACCESS_REMAINS
72,Kintore,6,6,6,ACCESS_REMAINS
608,Kybrook Farm,3,3,3,ACCESS_REMAINS
609,Lajamanu,5,5,5,ACCESS_REMAINS
86,Laramba,6,6,6,ACCESS_REMAINS
721,Likkaparta,1,1,1,ACCESS_REMAINS
362,Maningrida,11,11,11,ACCESS_REMAINS
363,Manmoyi,1,1,1,ACCESS_REMAINS
595,Manyallaluk,1,1,1,ACCESS_REMAINS
524,Mapuru,1,1,1,ACCESS_REMAINS
252,Marlinja,1,1,1,ACCESS_REMAINS
624,Minyerri,2,2,2,ACCESS_REMAINS
112,Mount Liebig,6,6,6,ACCESS_REMAINS
244,Mungkarta,1,1,1,ACCESS_REMAINS
120,Mutitjulu,7,7,7,ACCESS_REMAINS
397,Nauiyu,2,2,2,ACCESS_REMAINS
542,Ngangalala,2,2,2,ACCESS_REMAINS
404,Nganmarriyanga,4,4,4,ACCESS_REMAINS
633,Ngukurr,5,5,5,ACCESS_REMAINS
639,Nitjpurru,2,2,2,ACCESS_REMAINS
127,Nturiya,1,1,1,ACCESS_REMAINS
549,Numbulwar,4,4,4,ACCESS_REMAINS
128,Nyirripi,9,9,9,ACCESS_REMAINS
26,Orrtipa-Thurra,2,2,2,ACCESS_REMAINS
131,Papunya,14,14,14,ACCESS_REMAINS
410,Peppimenarti,3,3,3,ACCESS_REMAINS
138,Pmara Jutunta,3,3,3,ACCESS_REMAINS
550,Ramingining,2,2,2,ACCESS_REMAINS
641,Rittarangu,1,1,1,ACCESS_REMAINS
258,Robinson River,1,1,1,ACCESS_REMAINS
642,Rockhole,3,3,3,ACCESS_REMAINS
469,Rorruwuy,3,3,3,ACCESS_REMAINS
145,Santa Teresa,4,4,4,ACCESS_REMAINS
264,Tara,2,2,2,ACCESS_REMAINS
148,Titjikala,10,10,10,ACCESS_REMAINS
426,Wadeye,5,5,5,ACCESS_REMAINS
174,Wallace Rockhole,1,1,1,ACCESS_REMAINS
256,Wandangula,2,2,2,ACCESS_REMAINS
654,Weemol,2,2,2,ACCESS_REMAINS
186,Willowra,3,3,3,ACCESS_REMAINS
187,Wilora,4,4,4,ACCESS_REMAINS
434,Woodycupaldiya,1,1,1,ACCESS_REMAINS
581,Wugularr,2,2,2,ACCESS_REMAINS
227,Wutunugurra,2,2,2,ACCESS_REMAINS
658,Yarralin,5,5,5,ACCESS_REMAINS
571,Yathalamarra,1,1,1,ACCESS_REMAINS
576,Yirrkala,1,1,1,ACCESS_REMAINS
197,Yuelamu,4,4,4,ACCESS_REMAINS
198,Yuendumu,7,7,7,ACCESS_REMAINS
10153,Adelaide River,4,4,4,ACCESS_REMAINS
916,Angatyepe,4,4,4,ACCESS_REMAINS
168,Arlparra,6,6,6,ACCESS_REMAINS
968,Armorran,1,1,1,ACCESS_REMAINS
919,Arrillhjere,3,3,3,ACCESS_REMAINS
146,Atnarara,3,3,3,ACCESS_REMAINS
10677,Batchelor,5,5,5,ACCESS_REMAINS
25,Blackwater,6,6,6,ACCESS_REMAINS
11092,Borroloola,10,10,10,ACCESS_REMAINS
24904,Brumby Plains,2,2,2,ACCESS_REMAINS
949,Bunhanura,1,1,1,ACCESS_REMAINS
12194,Daly Waters,3,3,3,ACCESS_REMAINS
477,Dhipirrinjura,0,0,0,BASELINE_REVIEW
981,Djirrbiyak,2,2,2,ACCESS_REMAINS
46,Dons Bore,2,2,2,ACCESS_REMAINS
34,Eight Mile,4,4,4,ACCESS_REMAINS
920,Elitjia,4,4,4,ACCESS_REMAINS
12641,Elliott,13,13,13,ACCESS_REMAINS
57,Five Mile,3,3,3,ACCESS_REMAINS
489,Galawdjapin,1,1,1,ACCESS_REMAINS
963,Garanydjirr,1,1,1,ACCESS_REMAINS
973,Hingstons Place,5,5,5,ACCESS_REMAINS
800,Hunters Camp,3,3,3,ACCESS_REMAINS
52,Importna,6,6,6,ACCESS_REMAINS
932,Inbina Atwatye,6,6,6,ACCESS_REMAINS
82,Inkwelaye,2,2,2,ACCESS_REMAINS
771,Ipalala,1,1,1,ACCESS_REMAINS
921,Irriltyere (A),6,6,6,ACCESS_REMAINS
922,Irriltyere (B),1,1,1,ACCESS_REMAINS
935,Itchy Koo Park,3,3,3,ACCESS_REMAINS
923,Iteyepintye,2,2,2,ACCESS_REMAINS
924,Itperlyenge,6,6,6,ACCESS_REMAINS
824,Jemelke,4,4,4,ACCESS_REMAINS
67,Kaporilya,5,5,5,ACCESS_REMAINS
14240,Kulgera,4,4,4,ACCESS_REMAINS
391,Kungarrewarl,3,3,3,ACCESS_REMAINS
718,Kuy,1,1,1,ACCESS_REMAINS
925,Kwale Kwale,3,3,3,ACCESS_REMAINS
14359,Larrimah,3,3,3,ACCESS_REMAINS
856,Lizard Bore,2,2,2,ACCESS_REMAINS
614,Lul-Tju,1,1,1,ACCESS_REMAINS
94,Lyilyalanama,6,6,6,ACCESS_REMAINS
897,Mandedjkadjang,1,1,1,ACCESS_REMAINS
23547,Mataranka,6,6,6,ACCESS_REMAINS
872,Merral Ntarrakala,5,5,5,ACCESS_REMAINS
106,Motna's,12,12,12,ACCESS_REMAINS
875,Mount Twellar,1,1,1,ACCESS_REMAINS
380,Mudginberri,1,1,1,ACCESS_REMAINS
801,Mumukala,1,1,1,ACCESS_REMAINS
648,Muruning,4,4,4,ACCESS_REMAINS
678,Myatt,3,3,3,ACCESS_REMAINS
886,Nadilmuk,1,1,1,ACCESS_REMAINS
770,Ntakarra,3,3,3,ACCESS_REMAINS
281,Paradise Farm,3,3,3,ACCESS_REMAINS
926,Payeperrentye (B),2,2,2,ACCESS_REMAINS
927,Perte Therre,5,5,5,ACCESS_REMAINS
133,Phillipson Bore,1,1,1,ACCESS_REMAINS
17626,Pine Creek,16,16,16,ACCESS_REMAINS
861,Rutjingka,4,4,4,ACCESS_REMAINS
18964,Ti Tree,5,5,5,ACCESS_REMAINS
18974,Timber Creek,3,3,3,ACCESS_REMAINS
149,Tjamangkurra,5,5,5,ACCESS_REMAINS
762,Tjintirtjintirpa,2,2,2,ACCESS_REMAINS
928,Tnerte,11,11,11,ACCESS_REMAINS
155,Tnyimipurta,3,3,3,ACCESS_REMAINS
929,Twetye (A),10,10,10,ACCESS_REMAINS
930,Twetye (B),7,7,7,ACCESS_REMAINS
931,Tywenpe (A),4,4,4,ACCESS_REMAINS
933,Tywenpe (C),10,10,10,ACCESS_REMAINS
934,Tywenpe (D),2,2,2,ACCESS_REMAINS
760,Ulambara,6,6,6,ACCESS_REMAINS
162,Ulpanyali,2,2,2,ACCESS_REMAINS
772,Ulpunda,4,4,4,ACCESS_REMAINS
711,Undoolya Bore,4,4,4,ACCESS_REMAINS
908,Wakurlpu,7,7,7,ACCESS_REMAINS
178,Wanmarra,1,1,1,ACCESS_REMAINS
180,Warumpi,2,2,2,ACCESS_REMAINS
877,Wataru,2,2,2,ACCESS_REMAINS
952,Wiitin,2,2,2,ACCESS_REMAINS
432,Wilgi,1,1,1,ACCESS_REMAINS
275,Wollogorang,1,1,1,ACCESS_REMAINS
707,Wunara,3,3,3,ACCESS_REMAINS
817,Wurlbu,2,2,2,ACCESS_REMAINS
569,Yanungbi,1,1,1,ACCESS_REMAINS
939,Yartalu Yartalu,1,1,1,ACCESS_REMAINS
