Community_ID,Community,Community_Type,Population,Latitude,Longitude,NTG_Region,Health centre,Police station,School,Regional council service centre,Community store,Internet,Mobile phone,WiFi,Accessible by road,Aerodrome
202,Ali Curung,Major,463,-21.00333,134.40694,BARKLY,1,1,1,1,1,1,1,1,1,1
203,Alpurrurulam,Major,411,-20.98417,137.84749,BARKLY,1,0.5,1,1,1,1,1,1,1,1
622,Amanbidji,Major,88,-16.42806,129.6189,BIG RIVERS,1,0,1,0,1,0,0,0.5,1,1
9,Amoonguna,Major,269,-23.76632,133.93599,CENTRAL AUSTRALIA,1,0,1,1,0,1,1,1,1,0
10,Ampilatwatja,Major,515,-21.65664,135.22509,BARKLY,1,0,1,1,1,1,1,1,1,1
451,Angurugu,Major,1037,-13.98224,136.46057,EAST ARNHEM,1,1,1,1,1,1,1,1,0,1
147,Arawerr,Minor,80,-22.01371,134.84618,BARKLY,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5
20,Areyonga,Major,277,-24.07361,132.27083,CENTRAL AUSTRALIA,1,0,1,1,1,1,0,1,1,1
42,Atitjere,Major,239,-22.9843,134.9341,CENTRAL AUSTRALIA,1,1,1,1,1,1,1,1,1,1
458,Baniyala,Minor,138,-13.2004,136.2261,EAST ARNHEM,1,0.5,1,0.5,1,0.5,0.5,0.5,1,0.5
580,Barunga,Major,396,-14.52363,132.86668,BIG RIVERS,1,0,1,1,1,1,1,0,1,1
294,Belyuen,Major,175,-12.5386,130.6999,TOP END,1,0,1,1,1,1,1,1,1,1
582,Binjari,Minor,282,-14.5502,132.1815,BIG RIVERS,1,0,0,0,1,1,1,0.5,1,0
464,Birany Birany,Minor,40,-12.81703,136.47669,EAST ARNHEM,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
586,Bulla,Minor,77,-15.76492,130.03936,BIG RIVERS,1,0,1,0,1,1,1,0.5,1,1
587,Bulman,Major,190,-13.66529,134.33335,BIG RIVERS,1,0.5,1,1,1,1,1,1,1,1
