obstruction_id,road_name,restriction,obstruction,matched_osm_id,edge_u_x,edge_u_y,edge_v_x,edge_v_y,length_m
14100,Dorisvale Road,Impassable,Flooding,295857130,-48468.08,-1521927.39,-48520.64,-1521949.51,57.024976983815606
14100,Dorisvale Road,Impassable,Flooding,295857130,-48468.08,-1521927.39,-48389.8,-1521894.45,84.92821674800511
14301,Wildman River 4Wd,Road Closed,Flooding,29256497,-36973.89,-1342992.74,-36979.8,-1343002.6,11.495551313532617
14301,Wildman River 4Wd,Road Closed,Flooding,29256497,-36973.89,-1342992.74,-36951.2,-1342954.92,44.10429117449953
15049,Kirkimbie Propacc,Impassable,Road Damage,29132396,-301675.08,-1922079.76,-301676.95,-1922080.59,2.045922774717136
15049,Kirkimbie Propacc,Impassable,Road Damage,29132396,-301675.08,-1922079.76,-301654.63,-1922070.74,22.350903784876625
15187,Jim Jim Falls Road,Road Closed,Park Facilities Closed,1040976705,69486.71,-1362528.5,69484.59,-1362525.98,3.293144394061067
15187,Jim Jim Falls Road,Road Closed,Park Facilities Closed,1040976705,69486.71,-1362528.5,69541.69,-1362593.94,85.47042763431243
15188,Twin Falls Road,Road Closed,Park Facilities Closed,125859156,90525.97,-1402517.89,90538.1,-1402517.88,12.130004122015505
15188,Twin Falls Road,Road Closed,Park Facilities Closed,125859156,90525.97,-1402517.89,90525.78,-1402517.89,0.1900000000023283
15338,Point Stuart 4Wd,Road Closed,Road Damage,777563479,-12012.09,-1291655.89,-12004.54,-1291658.43,7.9658081824870886
15338,Point Stuart 4Wd,Road Closed,Road Damage,777563479,-12012.09,-1291655.89,-12041.72,-1291645.94,31.256029818245086
