obstruction_id,endpoint_type,road_name,restriction,obstruction,matched_osm_id,matched_osm_name,original_match_distance_m,snap_distance_m,status,graph_node_x,graph_node_y
12106,START,Broadarrow 4Wd Track,Road Closed,Park Facilities Closed,358292767,Broadarrow Track,2.4947534958098853e-06,2.4948176776007775e-06,EXISTING NODE,-165905.38,-1772739.21
13872,START,Rum Jungle Road,Road Closed,Roadworks,242026015,,0.9017006282481942,0.9017006282068524,NEW NODE,-110426.72,-1373626.7
14100,START,Dorisvale Road,Impassable,Flooding,295857130,Dorisvale Road,18.164569847523975,18.164569847516372,NEW NODE,-48468.08,-1521927.39
14122,START,Limestone Gorge Road,Road Closed,Park Facilities Closed,320192155,,0.7296042775785988,0.7296042775473316,NEW NODE,-171743.66,-1707832.13
14301,START,Wildman River 4Wd,Road Closed,Flooding,29256497,,1.31651260194188,1.3165126019249582,NEW NODE,-36973.89,-1342992.74
14673,START,Gorrie / Dry River Road,Impassable,Flooding,328269276,Gorrie Dry River Road,4.682701804931178,4.682701804857675,NEW NODE,46415.68,-1644679.88
14859,START,Dundee Road,Impassable,Road Damage,371371873,Fog Bay Road,4.597351605109836,4.597351605204618,NEW NODE,-163440.24,-1352203.07
15049,START,Kirkimbie Propacc,Impassable,Road Damage,29132396,Buntine Highway,6.9732386797398105,6.973238679683999,NEW NODE,-301675.08,-1922079.76
15137,START,Santa Teresa Road,Road Closed,Road Damage,93255081,Old Andado Track (Binns Track),75.03159086644868,75.03159086646635,NEW NODE,336126.06,-2723501.01
15187,START,Jim Jim Falls Road,Road Closed,Park Facilities Closed,1040976705,Jim-Jim Falls Road,0.13630311197391834,0.136303111962722,NEW NODE,69486.71,-1362528.5
15188,START,Twin Falls Road,Road Closed,Park Facilities Closed,125859156,Twin Falls Access Track,6.378940601698173,6.37894060180867,NEW NODE,90525.97,-1402517.89
15338,START,Point Stuart 4Wd,Road Closed,Road Damage,777563479,,6.518796100631862,6.518796100550367,NEW NODE,-12012.09,-1291655.89
15370,START,Buscall Avenue,Road Closed,Roadworks,1369081838,Roystonea Avenue,0.9100297219833954,0.9100297219616027,NEW NODE,-110581.89,-1318090.4
15372,START,Wishart Road,Road Closed,Roadworks,1281156129,Wishart Road,1.262944780440851,1.262944780386884,NEW NODE,-117994.18,-1314838.94
15417,START,Sandover Highway,Road Closed,Road Damage,174644417,Sandover Highway,0.0031104186197903265,0.003110418596787391,NEW NODE,330502.64,-2342241.26
12106,END,Broadarrow 4Wd Track,Road Closed,Park Facilities Closed,29132396,Buntine Highway,3.347908893964272e-07,3.3469375794862143e-07,EXISTING NODE,-190834.02,-1874729.23
13872,END,Rum Jungle Road,Road Closed,Roadworks,777664558,,7.55326580655919,7.55326580655919,EXISTING NODE,-110646.53,-1373244.54
14100,END,Dorisvale Road,Impassable,Flooding,295857130,Dorisvale Road,18.164569847523975,18.164569847516372,EXISTING NODE,-48468.08,-1521927.39
14122,END,Limestone Gorge Road,Road Closed,Park Facilities Closed,320192155,,1.9672346504292046,1.967234650490892,NEW NODE,-173878.65,-1707748.38
14301,END,Wildman River 4Wd,Road Closed,Flooding,29256497,,1.31651260194188,1.3165126019249582,EXISTING NODE,-36973.89,-1342992.74
14673,END,Gorrie / Dry River Road,Impassable,Flooding,328269276,Gorrie Dry River Road,11.230298341294791,11.230298341274832,NEW NODE,33890.01,-1635097.93
14859,END,Dundee Road,Impassable,Road Damage,371369416,Dundee Road,16.77913744078128,16.77913744078128,EXISTING NODE,-162903.82,-1346260.38
15049,END,Kirkimbie Propacc,Impassable,Road Damage,29132396,Buntine Highway,6.9732386797398105,6.973238679683999,EXISTING NODE,-301675.08,-1922079.76
15137,END,Santa Teresa Road,Road Closed,Road Damage,93259174,,6.814764421863918,6.814764421759357,NEW NODE,328940.6,-2753218.47
15187,END,Jim Jim Falls Road,Road Closed,Park Facilities Closed,1040976705,Jim-Jim Falls Road,0.13630311197391834,0.136303111962722,EXISTING NODE,69486.71,-1362528.5
15188,END,Twin Falls Road,Road Closed,Park Facilities Closed,125859156,Twin Falls Access Track,6.378940601698173,6.37894060180867,EXISTING NODE,90525.97,-1402517.89
15338,END,Point Stuart 4Wd,Road Closed,Road Damage,777563479,,6.518796100631862,6.518796100550367,EXISTING NODE,-12012.09,-1291655.89
15370,END,Buscall Avenue,Road Closed,Roadworks,4716036,Buscall Avenue,2.8818535012339743,2.8818535011780573,NEW NODE,-110913.37,-1318038.66
15372,END,Wishart Road,Road Closed,Roadworks,549489791,Wishart Road,0.18506234325215493,0.1850623433041178,NEW NODE,-116949.38,-1314592.06
15417,END,Sandover Highway,Road Closed,Road Damage,174644417,Sandover Highway,0.032513976934709705,0.03251397687000217,NEW NODE,587125.72,-2273123.18
