obstruction_id,road_name,restriction,obstruction,location,comment,last_updated,start_lat,start_lon,end_lat,end_lon,index_right,osm_id,name,fclass,match_distance_m
12106,Broadarrow 4Wd Track,Road Closed,Park Facilities Closed,Between Wickham 4Wd Track and Buntine Hwy Intersection,-,2025-08-13 14:22:20,-16.6380931,130.4506411999,-17.5588402,130.2044803999,11070,358292767,Broadarrow Track,track_grade4,2.4947534958098853e-06
13872,Rum Jungle Road,Road Closed,Roadworks,Between Litchfield Park Road and Old Mine Site,Road Closed during business hours only. Motorists are advised to comply with all traffic control.,2025-09-08 08:23:39,-13.0020502851,130.9979455206,-12.9985463534,130.9960486776,9048,242026015,,service,0.9017006282481942
14100,Dorisvale Road,Impassable,Flooding,Daly River Crossing,-,2025-08-15 13:03:39,-14.3633918936,131.5554313562,-14.3633918936,131.5554313562,9891,295857130,Dorisvale Road,unclassified,18.164569847523975
14122,Limestone Gorge Road,Road Closed,Park Facilities Closed,6 Kilometres from Bullita Tourist Access to end of Road,-,2025-09-01 15:00:49,-16.0482700247,130.4036937223,-16.04728,130.38385,10308,320192155,,track,0.7296042775785988
14301,Wildman River 4Wd,Road Closed,Flooding,Between Rock Hole Road and Wildman River Road,-,2025-11-19 13:07:51,-12.7241338388,131.6651991903,-12.7241338388,131.6651991903,1878,29256497,,unclassified,1.31651260194188
14673,Gorrie / Dry River Road,Impassable,Flooding,Between Larrizona Intersection and Margaret/Larrizona Boundary Grid,-,2026-02-19 08:53:58,-15.4829710368,132.4294711981,-15.3961914394,132.3132849925,10708,328269276,Gorrie Dry River Road,unclassified,4.682701804931178
14859,Dundee Road,Impassable,Road Damage,Between Fog Bay Road Intersection and Cul-De-Sac,-,2026-03-11 12:02:56,-12.8005672075,130.5191981679,-12.7458347425,130.5245973598,11510,371371873,Fog Bay Road,unclassified,4.597351605109836
15049,Kirkimbie Propacc,Impassable,Road Damage,Between Buntine Hwy Intersection and Kirkimbie,-,2026-04-15 12:20:41,-17.968705001,129.151975,-17.968705001,129.151975,1720,29132396,Buntine Highway,primary,6.9732386797398105
15137,Santa Teresa Road,Road Closed,Road Damage,Between Mac Clark Park T/O and Old Andado Homestead,-,2026-05-25 12:27:31,-25.1473581406,135.3735915476,-25.4138526862,135.3085168157,2818,93255081,Old Andado Track (Binns Track),tertiary,75.03159086644868
15187,Jim Jim Falls Road,Road Closed,Park Facilities Closed,Between Kakadu Highway Intersection and Jim Jim Falls Road (End Of Road),-,2026-06-11 16:16:57,-12.902524,132.630055,-12.902524,132.630055,27468,1040976705,Jim-Jim Falls Road,unclassified,0.13630311197391834
15188,Twin Falls Road,Road Closed,Park Facilities Closed,Between Jim Jim Falls Road Intersection and Twin Falls Road (End Of Road),-,2026-06-11 16:19:46,-13.268555,132.823157,-13.268555,132.823157,3908,125859156,Twin Falls Access Track,track,6.378940601698173
15338,Point Stuart 4Wd,Road Closed,Road Damage,Between Point Stuart Road and End Of Road,-,2026-07-29 23:28:40,-12.2521549999,131.8916459999,-12.2521549999,131.8916459999,23339,777563479,,track_grade3,6.518796100631862
15370,Buscall Avenue,Road Closed,Roadworks,between Roystonea Avenue and Lakeview Boulevard,"Vehicles are encouraged to detour via Forrest Parade, Chung Wah Terrace side of Buscall Avenue, or Lambrick Drive.
Motorists are advised to comply with all traffic control.",2026-08-07 14:14:16,-12.491597996,131.000479,-12.4910738786,130.9974989762,31433,1369081838,Roystonea Avenue,secondary,0.9100297219833954
15372,Wishart Road,Road Closed,Roadworks,Between Kirkland Road and Hastings Deering,Detours in place. Motorists are advised to comply with all traffic control.,2026-08-11 09:57:53,-12.46114454,130.93373845,-12.45894286,130.94319804,30295,1281156129,Wishart Road,secondary,1.262944780440851
15417,Sandover Highway,Road Closed,Road Damage,Ammaroo Elkedra Boundary to Austral Downs,-,2026-09-01 12:15:10,-21.7411418222,135.2200564395,-21.0414924989,137.6877553364,5150,174644417,Sandover Highway,secondary,0.0031104186197903265
